Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:01:53,2024-01-14 02:01:53,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:01:53,2024-01-14 02:02:05,11.535s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:02:05,2024-01-14 02:02:06,0.718s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:02:06,2024-01-14 02:02:16,10.834s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:02:06,2024-01-14 02:02:07,1.743s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:02:07,2024-01-14 02:02:12,4.861s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:02:12,2024-01-14 02:02:13,0.730s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:02:13,2024-01-14 02:02:13,0.379s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:02:13,2024-01-14 02:02:15,1.207s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:02:15,2024-01-14 02:02:16,1.156s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:02:16,2024-01-14 02:02:16,0.008s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:02:16,2024-01-14 02:02:16,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:02:16,2024-01-14 02:02:16,0.742s,FAILED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:02:16,2024-01-14 02:02:40,23.259s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:02:16,2024-01-14 02:02:19,2.313s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:02:19,2024-01-14 02:02:24,4.926s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:02:24,2024-01-14 02:02:24,0.742s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:02:24,2024-01-14 02:02:25,0.381s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:02:25,2024-01-14 02:02:26,1.304s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:02:26,2024-01-14 02:02:27,1.075s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:02:27,2024-01-14 02:02:27,0.014s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:02:27,2024-01-14 02:02:27,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:02:27,2024-01-14 02:02:38,11.082s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:02:38,2024-01-14 02:02:40,1.413s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:02:40,2024-01-14 02:03:03,23.074s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:02:40,2024-01-14 02:02:41,1.591s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:02:41,2024-01-14 02:02:46,4.774s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:02:46,2024-01-14 02:02:47,1.099s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:02:47,2024-01-14 02:02:48,0.387s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:02:48,2024-01-14 02:02:49,1.573s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:02:49,2024-01-14 02:02:51,1.594s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:02:51,2024-01-14 02:02:51,0.012s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:02:51,2024-01-14 02:02:51,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:02:51,2024-01-14 02:03:02,11.349s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:03:02,2024-01-14 02:03:03,0.685s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:03:03,2024-01-14 02:03:25,21.942s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:03:03,2024-01-14 02:03:05,1.642s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:03:05,2024-01-14 02:03:09,4.565s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:03:09,2024-01-14 02:03:10,0.786s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:03:10,2024-01-14 02:03:10,0.375s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:03:10,2024-01-14 02:03:12,1.417s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:03:12,2024-01-14 02:03:13,1.005s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:03:13,2024-01-14 02:03:13,0.013s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:03:13,2024-01-14 02:03:13,0.000s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:03:13,2024-01-14 02:03:24,11.313s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:03:24,2024-01-14 02:03:25,0.804s,PASSED
,,,,,,,
Test Cases/TimKiem/TimKiem_DSTruyenTraVe_TenTruyenKhopTuKhoa,Chrome 120.0.0.0,,,2024-01-14 02:03:25,2024-01-14 02:03:47,22.001s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-14 02:03:25,2024-01-14 02:03:27,1.605s,PASSED
"navigateToUrl(""https://truyenteen.me/"")",Chrome 120.0.0.0,,,2024-01-14 02:03:27,2024-01-14 02:03:31,4.366s,PASSED
"waitForElementPresent(findTestObject(""Page_TrangChu/button_TurnAdOff""), 10)",Chrome 120.0.0.0,,,2024-01-14 02:03:31,2024-01-14 02:03:32,0.721s,PASSED
"click(findTestObject(""Object Repository/Page_TrangChu/button_TurnAdOff""))",Chrome 120.0.0.0,,,2024-01-14 02:03:32,2024-01-14 02:03:32,0.395s,PASSED
"setText(findTestObject(""Object Repository/Page_TimKiem/input_search""), keyword)",Chrome 120.0.0.0,,,2024-01-14 02:03:32,2024-01-14 02:03:34,1.552s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_TimKiem/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,2024-01-14 02:03:34,2024-01-14 02:03:35,1.517s,PASSED
currentUrl = getUrl(),Chrome 120.0.0.0,,,2024-01-14 02:03:35,2024-01-14 02:03:35,0.012s,PASSED
if (currentUrl == url_main),Chrome 120.0.0.0,,,2024-01-14 02:03:35,2024-01-14 02:03:35,0.001s,PASSED
else,Chrome 120.0.0.0,,,2024-01-14 02:03:35,2024-01-14 02:03:46,11.102s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-14 02:03:46,2024-01-14 02:03:47,0.712s,PASSED
